descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,AgglomerativeClustering,standard,14,{'n_clusters': 14},2.767216786704049,0.5975070258255831
efficientnet-b7,AgglomerativeClustering,standard,15,{'n_clusters': 15},2.750800173205283,0.5997540777599516
efficientnet-b7,AgglomerativeClustering,standard,16,{'n_clusters': 16},2.7423923307112044,0.6005072636013705
efficientnet-b7,AgglomerativeClustering,standard,17,{'n_clusters': 17},2.7316368941329507,0.6015512262082613
efficientnet-b7,AgglomerativeClustering,standard,18,{'n_clusters': 18},2.7241783251718026,0.602250283495842
efficientnet-b7,AgglomerativeClustering,standard,19,{'n_clusters': 19},2.7166820384651045,0.6029730046242681
efficientnet-b7,AgglomerativeClustering,standard,20,{'n_clusters': 20},2.710509684517012,0.6035631727831733
efficientnet-b7,AgglomerativeClustering,standard,21,{'n_clusters': 21},2.702648825064801,0.6043611113830464
efficientnet-b7,AgglomerativeClustering,standard,22,{'n_clusters': 22},2.696971784540261,0.604920939133729
efficientnet-b7,AgglomerativeClustering,standard,23,{'n_clusters': 23},2.6888574027121344,0.6058778396672492
efficientnet-b7,AgglomerativeClustering,standard,24,{'n_clusters': 24},2.6837565942598647,0.6063876899970843
efficientnet-b7,AgglomerativeClustering,standard,25,{'n_clusters': 25},2.6777834162957204,0.6070073218989418
efficientnet-b7,AgglomerativeClustering,standard,26,{'n_clusters': 26},2.676245765984188,0.6071269073843886
efficientnet-b7,AgglomerativeClustering,standard,27,{'n_clusters': 27},2.6709348062312204,0.6076831507169052
efficientnet-b7,AgglomerativeClustering,standard,28,{'n_clusters': 28},2.6686349204949216,0.6078968727750592
efficientnet-b7,AgglomerativeClustering,standard,29,{'n_clusters': 29},2.6633142896762827,0.6084670845959587
efficientnet-b7,AgglomerativeClustering,standard,30,{'n_clusters': 30},2.6579759418367375,0.6090893164140143
osnet,KMeans,norm,2,{'n_clusters': 2},8826.2680281921,4.70485722617634
osnet,KMeans,norm,3,{'n_clusters': 3},6114.870125863869,5.595878385125754
osnet,KMeans,norm,4,{'n_clusters': 4},4995.350038704403,5.058163312727784
osnet,KMeans,norm,5,{'n_clusters': 5},4631.804880921262,5.064856227628413
osnet,KMeans,norm,6,{'n_clusters': 6},3781.9721871928627,4.93829525625245
osnet,KMeans,norm,7,{'n_clusters': 7},3757.824944278319,4.643783044369912
osnet,KMeans,norm,8,{'n_clusters': 8},3221.9969188540354,4.153450497468899
osnet,KMeans,norm,9,{'n_clusters': 9},3136.8980437044447,4.11847650952017
osnet,KMeans,norm,10,{'n_clusters': 10},2799.0429424525887,3.888989286891301
osnet,KMeans,norm,11,{'n_clusters': 11},2950.7771445196095,4.049061899123449
osnet,KMeans,norm,12,{'n_clusters': 12},2793.4498731202016,4.1000770403345115
osnet,KMeans,norm,13,{'n_clusters': 13},2533.1981568995097,4.1149326799565
osnet,KMeans,norm,14,{'n_clusters': 14},2562.0462129748134,3.782451007475454
osnet,KMeans,norm,15,{'n_clusters': 15},2502.0873951784056,4.084251964542809
osnet,KMeans,norm,16,{'n_clusters': 16},2323.9071376697443,3.6153957658715985
osnet,KMeans,norm,17,{'n_clusters': 17},2314.654114540858,4.021689264915289
osnet,KMeans,norm,18,{'n_clusters': 18},2243.4318502084757,3.8902379873375583
osnet,KMeans,norm,19,{'n_clusters': 19},2091.853792155574,3.7069854783650587
osnet,KMeans,norm,20,{'n_clusters': 20},2108.4222783219725,3.8264091980921897
osnet,KMeans,norm,21,{'n_clusters': 21},2047.3355974819094,3.5513470225407726
osnet,KMeans,norm,22,{'n_clusters': 22},1986.9835562536082,3.6837910143971926
osnet,KMeans,norm,23,{'n_clusters': 23},1991.2993012483785,3.910162697215288
osnet,KMeans,norm,24,{'n_clusters': 24},1955.0764633084823,3.693526560133096
osnet,KMeans,norm,25,{'n_clusters': 25},1913.2042760440709,3.726609716025463
osnet,KMeans,norm,26,{'n_clusters': 26},1889.9763044940332,3.6538930497727224
osnet,KMeans,norm,27,{'n_clusters': 27},1839.6542624355443,3.636062026075447
osnet,KMeans,norm,28,{'n_clusters': 28},1783.0649080381827,3.5870227518710784
osnet,KMeans,norm,29,{'n_clusters': 29},1737.2389049317649,3.785867697014595
osnet,KMeans,norm,30,{'n_clusters': 30},1739.2815197333293,3.6868934296719584
osnet,KMeans,standard,2,{'n_clusters': 2},1162.7226678842367,7.432555230244498
osnet,KMeans,standard,3,{'n_clusters': 3},1185.847135505957,9.355114210440307
osnet,KMeans,standard,4,{'n_clusters': 4},717.125682332305,6.152709253595788
osnet,KMeans,standard,5,{'n_clusters': 5},1097.2565326006852,7.653743321960967
osnet,KMeans,standard,6,{'n_clusters': 6},1129.5461761485903,7.204712952011735
osnet,KMeans,standard,7,{'n_clusters': 7},1104.9123863774848,7.131595530401036
osnet,KMeans,standard,8,{'n_clusters': 8},1158.0951165971105,6.071015655104405
osnet,KMeans,standard,9,{'n_clusters': 9},1079.2069260924484,6.413650561860354
osnet,KMeans,standard,10,{'n_clusters': 10},1135.2544670971404,5.9316122426928
osnet,KMeans,standard,11,{'n_clusters': 11},1124.105582207837,5.95985556551851
osnet,KMeans,standard,12,{'n_clusters': 12},1006.9681079379657,5.641470427049296
osnet,KMeans,standard,13,{'n_clusters': 13},1046.0467331069065,5.350139849682636
osnet,KMeans,standard,14,{'n_clusters': 14},1032.4699494929973,4.782741080790962
osnet,KMeans,standard,15,{'n_clusters': 15},1061.5889816277604,5.142514556730903
osnet,KMeans,standard,16,{'n_clusters': 16},995.807450381815,4.805314847309345
osnet,KMeans,standard,17,{'n_clusters': 17},1007.9495304027857,4.965310623582096
osnet,KMeans,standard,18,{'n_clusters': 18},984.8776138483934,4.473150939463743
osnet,KMeans,standard,19,{'n_clusters': 19},846.1129202331331,3.783635767185525
osnet,KMeans,standard,20,{'n_clusters': 20},960.8923677206175,4.552235161626369
osnet,KMeans,standard,21,{'n_clusters': 21},943.2554357699632,4.359010454668133
osnet,KMeans,standard,22,{'n_clusters': 22},903.9938670948815,4.070067868878067
osnet,KMeans,standard,23,{'n_clusters': 23},945.4850202989002,4.386941276632499
osnet,KMeans,standard,24,{'n_clusters': 24},904.2621326944493,4.628602045609727
osnet,KMeans,standard,25,{'n_clusters': 25},946.1429665337954,4.459011245337536
osnet,KMeans,standard,26,{'n_clusters': 26},899.5384239131041,4.2252569252909105
osnet,KMeans,standard,27,{'n_clusters': 27},949.4108953080902,4.351666297911722
osnet,KMeans,standard,28,{'n_clusters': 28},923.8705452821489,4.296187297628236
osnet,KMeans,standard,29,{'n_clusters': 29},875.4244859835314,4.028136338679808
osnet,KMeans,standard,30,{'n_clusters': 30},912.9584115315089,4.146897252677345
osnet,AgglomerativeClustering,norm,2,{'n_clusters': 2},5.266365913791487,0.4271868569739798
osnet,AgglomerativeClustering,norm,3,{'n_clusters': 3},5.3317942541608865,0.4254496556371501
osnet,AgglomerativeClustering,norm,4,{'n_clusters': 4},5.36098983535401,0.42436581608096235
osnet,AgglomerativeClustering,norm,5,{'n_clusters': 5},5.839003285867689,0.5950140260331425
osnet,AgglomerativeClustering,norm,6,{'n_clusters': 6},6.233521912824943,0.5543048752372716
osnet,AgglomerativeClustering,norm,7,{'n_clusters': 7},5.8503255919703925,0.5457275844740198
