descriptor,scaler,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 8.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 8.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 8.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.25, 'min_samples': 16.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.5, 'min_samples': 16.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 1.0, 'min_samples': 16.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 2.0, 'min_samples': 16.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 4.0, 'min_samples': 16.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 8.0, 'min_samples': 16.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 16.0, 'min_samples': 16.0}",[-1  0 -1 ... -1 -1  0],2,62.83035027680914,22.77374701111998
efficientnet-b7,std,DBSCAN,"{'eps': 32.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 64.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 16.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.25, 'min_samples': 32.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.5, 'min_samples': 32.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 1.0, 'min_samples': 32.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 2.0, 'min_samples': 32.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 4.0, 'min_samples': 32.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 8.0, 'min_samples': 32.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 16.0, 'min_samples': 32.0}",[-1  0 -1 ... -1 -1  0],2,62.78322006040698,22.769322582150437
efficientnet-b7,std,DBSCAN,"{'eps': 32.0, 'min_samples': 32.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 64.0, 'min_samples': 32.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 128.0, 'min_samples': 32.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 256.0, 'min_samples': 32.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 512.0, 'min_samples': 32.0}",[0 0 0 ... 0 0 0],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.25, 'min_samples': 64.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 0.5, 'min_samples': 64.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 1.0, 'min_samples': 64.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 2.0, 'min_samples': 64.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 4.0, 'min_samples': 64.0}",[-1 -1 -1 ... -1 -1 -1],1,,
efficientnet-b7,std,DBSCAN,"{'eps': 8.0, 'min_samples': 64.0}",[-1 -1 -1 ... -1 -1 -1],1,,
