descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
vdc_type,AgglomerativeClustering,norm,3,30.002067938235438,0.5052988813590381
vdc_type,AgglomerativeClustering,norm,4,24.14030784032661,0.5024730942871111
vdc_type,AgglomerativeClustering,norm,5,21.02910466914321,0.4593598813141182
vdc_type,AgglomerativeClustering,norm,6,17.379241080656282,0.25477750554744155
vdc_type,AgglomerativeClustering,norm,7,15.849030690429554,0.2753079012993651
vdc_type,AgglomerativeClustering,norm,8,14.653056939877006,0.28776720002927414
vdc_type,AgglomerativeClustering,norm,9,14.227672701203726,0.2882975203764173
vdc_type,AgglomerativeClustering,norm,10,14.07383015882636,0.36720273820856
vdc_type,AgglomerativeClustering,norm,11,13.187917469275035,0.37288599100863196
vdc_type,AgglomerativeClustering,norm,12,12.608967979411505,0.37312615269311705
vdc_type,AgglomerativeClustering,norm,13,11.937509561564264,0.3798070156097622
vdc_type,AgglomerativeClustering,norm,14,11.503089130574624,0.3806255945602213
vdc_type,AgglomerativeClustering,norm,15,11.156983004593704,0.38060484912225745
vdc_type,AgglomerativeClustering,standard,2,50.33274932562532,0.1380236112642746
vdc_type,AgglomerativeClustering,standard,3,51.30686581318313,0.5375672875434848
vdc_type,AgglomerativeClustering,standard,4,35.611541718656575,0.44396616125733734
vdc_type,AgglomerativeClustering,standard,5,29.078423376462087,0.4188021545611809
vdc_type,AgglomerativeClustering,standard,6,25.878184403969033,0.39414681064273877
vdc_type,AgglomerativeClustering,standard,7,22.05280295197861,0.24413213814852106
vdc_type,AgglomerativeClustering,standard,8,20.168674740968104,0.2561039678468795
vdc_type,AgglomerativeClustering,standard,9,19.3308454753414,0.25730739191315144
vdc_type,AgglomerativeClustering,standard,10,18.761068272262865,0.3361313376939721
vdc_type,AgglomerativeClustering,standard,11,17.498365538455626,0.34153264903683467
vdc_type,AgglomerativeClustering,standard,12,16.36974155532906,0.34927991013235316
vdc_type,AgglomerativeClustering,standard,13,15.76318308784666,0.34740487388396
vdc_type,AgglomerativeClustering,standard,14,15.281976305231831,0.3452840054743783
vdc_type,AgglomerativeClustering,standard,15,15.11886679287725,0.34037926809245395
