descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,AgglomerativeClustering,standard,24,2.6837565942598647,0.6063876899970843
efficientnet-b7,AgglomerativeClustering,standard,25,2.6777834162957204,0.6070073218989418
efficientnet-b7,AgglomerativeClustering,standard,26,2.676245765984188,0.6071269073843886
efficientnet-b7,AgglomerativeClustering,standard,27,2.6709348062312204,0.6076831507169052
efficientnet-b7,AgglomerativeClustering,standard,28,2.6686349204949216,0.6078968727750592
efficientnet-b7,AgglomerativeClustering,standard,29,2.6633142896762827,0.6084670845959587
efficientnet-b7,AgglomerativeClustering,standard,30,2.6579759418367375,0.6090893164140143
osnet,KMeans,norm,2,8826.276776469005,4.704838552945905
osnet,KMeans,norm,3,6114.8644234235935,5.595971600285535
osnet,KMeans,norm,4,4995.352314305516,5.058478055781626
osnet,KMeans,norm,5,4631.72301037611,5.065068538077048
osnet,KMeans,norm,6,3782.0567796216915,4.937551148089619
osnet,KMeans,norm,7,3757.8448355201567,4.643769853213955
osnet,KMeans,norm,8,3221.9964014735688,4.153441245798742
osnet,KMeans,norm,9,3136.900867994858,4.118464657161159
osnet,KMeans,norm,10,2799.040079373755,3.8889356715654904
osnet,KMeans,norm,11,2950.743452844132,4.048932484213029
osnet,KMeans,norm,12,2793.449964526741,4.099898243430618
osnet,KMeans,norm,13,2533.200179329203,4.114842344956068
osnet,KMeans,norm,14,2562.043321770811,3.7825545565983623
osnet,KMeans,norm,15,2502.0875882359037,4.084329882934557
osnet,KMeans,norm,16,2323.90805169971,3.6154585492622218
osnet,KMeans,norm,17,2314.6535695015455,4.02171089390934
osnet,KMeans,norm,18,2243.446794809874,3.88965732549355
osnet,KMeans,norm,19,2091.851575654203,3.7069143999183947
osnet,KMeans,norm,20,2108.4218755474894,3.826318242220993
osnet,KMeans,norm,21,2047.3367659015332,3.551293573443003
osnet,KMeans,norm,22,1987.0792644988398,3.6838776004176625
osnet,KMeans,norm,23,1991.301145457765,3.9101726076941032
osnet,KMeans,norm,24,1955.0764986726901,3.6935157789545165
osnet,KMeans,norm,25,1913.2015914324584,3.7266142871166816
osnet,KMeans,norm,26,1889.980276001921,3.6537681943711844
osnet,KMeans,norm,27,1832.1025638394658,3.6043219985230874
osnet,KMeans,norm,28,1783.0539608532108,3.586926248825463
osnet,KMeans,norm,29,1737.2487346980754,3.785954658285182
osnet,KMeans,norm,30,1742.7237848214,3.7059454808975314
osnet,KMeans,standard,2,1162.7226678842367,7.432555230244498
osnet,KMeans,standard,3,1185.847135505957,9.355114210440307
osnet,KMeans,standard,4,717.125682332305,6.152709253595788
osnet,KMeans,standard,5,1097.2567274367204,7.653826133304579
osnet,KMeans,standard,6,1129.54798659142,7.204968824857669
osnet,KMeans,standard,7,1104.9123863774848,7.131595530401036
osnet,KMeans,standard,8,1158.0951165971105,6.071015655104405
osnet,KMeans,standard,9,1079.2069260924484,6.413650561860354
osnet,KMeans,standard,10,1135.2544670971404,5.9316122426928
osnet,KMeans,standard,11,1124.1057462940237,5.959594688818846
osnet,KMeans,standard,12,1006.9679247135781,5.641475934086369
osnet,KMeans,standard,13,1046.0467331069065,5.350139849682636
osnet,KMeans,standard,14,1032.4700614796982,4.782783305714566
osnet,KMeans,standard,15,1061.5892125966911,5.142514277041271
osnet,KMeans,standard,16,995.807450381815,4.805314847309345
osnet,KMeans,standard,17,1007.9495304027857,4.965310623582096
osnet,KMeans,standard,18,984.8776138483934,4.473150939463743
osnet,KMeans,standard,19,846.1129202331331,3.783635767185525
osnet,KMeans,standard,20,960.9040173429546,4.552245273129448
osnet,KMeans,standard,21,943.2554357699632,4.359010454668133
osnet,KMeans,standard,22,903.9938670948815,4.070067868878067
osnet,KMeans,standard,23,945.4852179587427,4.387029240554336
osnet,KMeans,standard,24,904.2621326944493,4.628602045609727
osnet,KMeans,standard,25,946.1429153190415,4.458956134428192
osnet,KMeans,standard,26,899.5383139283609,4.225168235762643
osnet,KMeans,standard,27,949.4106394521111,4.351545577775406
osnet,KMeans,standard,28,923.8705452821489,4.296187297628236
osnet,KMeans,standard,29,875.4244859835314,4.028136338679808
osnet,KMeans,standard,30,912.958383207172,4.1468855943735665
osnet,AgglomerativeClustering,norm,2,5.266365913791487,0.4271868569739798
osnet,AgglomerativeClustering,norm,3,5.3317942541608865,0.4254496556371501
osnet,AgglomerativeClustering,norm,4,5.36098983535401,0.42436581608096235
osnet,AgglomerativeClustering,norm,5,5.839003285867689,0.5950140260331425
osnet,AgglomerativeClustering,norm,6,6.233521912824943,0.5543048752372716
osnet,AgglomerativeClustering,norm,7,5.8503255919703925,0.5457275844740198
osnet,AgglomerativeClustering,norm,8,6.057923065274861,0.5950297700081842
osnet,AgglomerativeClustering,norm,9,5.771569455747574,0.5850406102731984
osnet,AgglomerativeClustering,norm,10,5.49639228536005,0.5805469045079061
osnet,AgglomerativeClustering,norm,11,5.567601589507653,0.5635384151104953
osnet,AgglomerativeClustering,norm,12,5.578354559487214,0.5508393515818445
osnet,AgglomerativeClustering,norm,13,5.516003696908351,0.5427820476296934
osnet,AgglomerativeClustering,norm,14,5.34339929411244,0.5427257956163575
osnet,AgglomerativeClustering,norm,15,5.221108986434568,0.5408434958586866
osnet,AgglomerativeClustering,norm,16,5.199913426484874,0.5347131373704775
osnet,AgglomerativeClustering,norm,17,5.106971989297969,0.5331904759522926
osnet,AgglomerativeClustering,norm,18,5.03126436036881,0.5314378388353984
osnet,AgglomerativeClustering,norm,19,4.926379973744147,0.5325724803451606
